study,seed,wr,burn_mult,thr,exit_z,block_h,min_n,epd,dust,cad,cool,stat,gamma,tau,join_day,cleared,clear_day,steady_share,sk_paid_pd,sk_trades,noise_paid_pd,mom_ev_pd,noise_passes,noise_pass_epochs,entries,quits,rereg,eq_crowd,unalloc_steady
wr,8,0.4,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,50.5,0.22491334691914877,324.2447185601624,197,306.2186147731723,5.412871624830321,2,14376.0,48,47,0,0.9329608938547486,1.783179438992919e-18
wr,9,0.4,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,135.5,0.6015235957201607,397.3996483390045,198,128.23785166099938,2.3812754107615626,2,14376.0,48,47,0,0.9329608938547486,5.685499660557133e-17
wr,0,0.45,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.7883798882681564,625.0640712511967,198,13.593428748603921,-0.009418448745170983,0,0.0,48,47,0,0.9329608938547486,0.19162011173184365
wr,1,0.45,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,61.0,0.9800000000000002,641.9504331484172,196,13.619566851375826,0.00710773022394038,0,0.0,48,47,0,0.9329608938547486,-1.3955317348640237e-17
wr,2,0.45,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,50.5,0.5303181021053806,537.4728842425058,198,128.61044909072402,2.72481644253339,2,9336.0,48,47,0,0.9329608938547486,9.060619004506049e-17
wr,3,0.45,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,50.5,0.552826509376269,387.6066720985168,198,135.3333279014829,2.097053043188702,2,14376.0,48,47,0,0.9329608938547486,6.233375082392639e-17
wr,4,0.45,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,92.5,0.5657015135246021,459.2500542905488,196,162.33744570945524,3.227232540106741,2,14376.0,48,47,0,0.9329608938547486,6.248880990557795e-17
wr,5,0.45,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.8288923234769691,478.27263457052385,198,83.97153209607556,1.5232921834275586,1,5592.0,48,47,0,0.9329608938547486,1.0430307559094813e-16
wr,6,0.45,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,36.0,0.7689696616843065,526.5630564269132,197,104.27111023975428,1.9644363495475714,1,10632.0,48,47,0,0.9329608938547486,9.052866050423471e-17
wr,7,0.45,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.5629322860452176,588.5791091281054,199,88.24839087174347,1.6118926977815282,1,3744.0,48,47,0,0.9329608938547486,1.457555367524647e-17
wr,8,0.45,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,43.5,0.506345302210311,495.7655577137992,196,172.83110895282184,2.9427326281571657,2,14376.0,48,47,0,0.9329608938547486,-1.0776606174783293e-17
wr,9,0.45,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,50.5,0.6102098745068907,406.5207234671263,198,122.6659431995142,2.265193984480621,2,14376.0,48,47,0,0.9329608938547486,5.292683320373186e-17
wr,0,0.5,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.98,673.582905268554,197,13.584594731225007,-0.009595129092749267,0,0.0,48,47,0,0.9329608938547486,1.3722728726162899e-17
wr,1,0.5,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,58.0,0.9800000000000002,644.8907042084517,197,13.619295791339999,0.0071028898661577924,0,0.0,48,47,0,0.9329608938547486,-1.2068765188546278e-17
