seed,skin,bond,adversary,breakw,sk_w,empty,gate_z,sk_policy,sk_topups_tao,sk_swept_tao,sk_ruin_weeks,clear_day,steady,sk_em_pd,sk_pre_clear_pd,sk_settle_tao,sk_net_tao,leak_pct,adv_ev_tao,adv_settle_tao,adv_stake_now,passes,entries,adv_entry_mean,adv_entry_min_frac,crowd
1,always,0.0,aware,False,0.7,False,1.25,f0.03+sweep,0.0,131.12632718483775,0,29.0,0.98,673.4509979552791,0.1909979555001459,134.87632718483778,1400.9642033407622,1.3878603798406672,-2.9665612385893154,-2.809923483017453,0.4035384198094028,0,48,15.0,0.0,0.9329608938547486
2,always,0.0,aware,False,0.7,False,1.25,f0.03+sweep,0.0,113.41765557566674,0,29.0,0.9777550108310369,670.506471882679,0.3536486851045959,117.16765557566673,1377.719822715103,1.8667559495564807,-2.463340114440593,-2.440992824493057,0.3583442890921371,2,48,15.0,0.0,0.9329608938547486
3,always,0.0,aware,False,0.7,False,1.25,f0.03+sweep,0.0,133.39615112749144,0,29.0,0.98,673.4222518774849,0.16225187770588426,133.3961511274914,1399.4299846571625,0.5953905309611748,-3.1579462660143665,-2.7790864818227377,0.44337503774452197,2,48,15.0,0.0,0.9329608938547486
4,always,0.0,aware,False,0.7,False,1.25,f0.03+sweep,0.0,135.81850903675536,0,22.0,0.98,680.3519883173373,0.23198831756138505,139.56850903675536,1418.6302470733494,1.1486485501863637,-3.1313940941294898,-2.90767727159907,0.33462003269444884,2,48,15.0,0.0,0.9329608938547486
0,always,0.0,aware,False,0.7,False,1.25,f0.015+refill+sweep,7.772560249633909,142.78287475298157,0,25.5,0.98,676.9711663290985,0.28116632932111385,135.01031450334767,1407.7161072020526,1.3657219815881672,-2.975560624588521,-2.812714885486409,0.36854968604165267,0,48,15.0,0.0,0.9329608938547486
1,always,0.0,aware,False,0.7,False,1.25,f0.015+refill+sweep,6.4807251424268095,142.79169859698789,0,29.0,0.98,673.4346292337983,0.1746292340193993,140.06097345456106,1406.1180764141018,1.390146647171764,-3.0739335942839467,-2.917936946970022,0.3199100181242939,0,48,15.0,0.0,0.9329608938547486
2,always,0.0,aware,False,0.7,False,1.25,f0.015+refill+sweep,9.035904639667844,130.3985964303612,0,29.0,0.9778108897601794,670.5913432967745,0.34452664379057607,125.11269179069338,1385.8244171886292,1.8549017102619298,-2.63218583263855,-2.606514412306112,0.2974923780438848,2,48,15.0,0.0,0.9329608938547486
3,always,0.0,aware,False,0.7,False,1.25,f0.015+refill+sweep,9.318912049833095,150.27969587657182,0,29.0,0.98,673.4168273184752,0.15682731869615293,140.9607838267387,1406.9844191854718,0.5961481950258511,-3.3153303186874705,-2.9366829963903895,0.3831795392307619,2,48,15.0,0.0,0.9329608938547486
4,always,0.0,aware,False,0.7,False,1.25,f0.015+refill+sweep,5.5459834257046765,145.9904158427566,0,22.0,0.98,680.3388677639174,0.2188677641415405,144.19443241705198,1423.2315038132167,1.1504811363591938,-3.2272536095433892,-3.0040506753552485,0.2870254430644516,2,48,15.0,0.0,0.9329608938547486
0,always,0.0,aware,False,0.7,False,1.25,f0.03+refill,0.0,0.0,0,25.5,0.98,676.9867340646848,0.2967340649074583,103.43921135262075,1376.174271394228,1.3635475903057568,-2.3184390452588164,-2.1549835698462654,0.5503260957066917,0,48,15.0,0.0,0.9329608938547486
1,always,0.0,aware,False,0.7,False,1.25,f0.03+refill,0.24261716824213408,0.0,0,29.0,0.98,673.4509979552791,0.1909979555001459,109.3289980411151,1375.4168741970395,1.3878603798405917,-2.434325214761781,-2.2776874591898975,0.8311443366393955,0,48,15.0,0.0,0.9329608938547486
2,always,0.0,aware,False,0.7,False,1.25,f0.03+refill,0.0,0.0,0,29.0,0.9777895221892408,670.4724490145283,0.3536486851045959,92.08919108533019,1352.5773952326433,1.8715080233311143,-1.9395395418875854,-1.9185248142777123,0.5524629651469724,2,48,15.0,0.0,0.9329608938547486
3,always,0.0,aware,False,0.7,False,1.25,f0.03+refill,0.0,0.0,0,29.0,0.98,673.4222518774849,0.16225187770588426,103.65058900032672,1369.684422529998,0.5953905309611748,-2.5382470550317686,-2.1593872708401403,0.7214684248850508,2,48,15.0,0.0,0.9329608938547486
4,always,0.0,aware,False,0.7,False,1.25,f0.03+refill,0.0,0.0,0,22.0,0.98,680.3519883173373,0.23198831756138505,117.42080908960408,1396.4825471261981,1.148648550186417,-2.6699836785638227,-2.446266856033418,0.6010153852625434,2,48,15.0,0.0,0.9329608938547486
0,always,0.0,aware,False,0.7,True,1.25,f0.03+refill+sweep,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.508642262701507,-0.40318547453703707,0.0,0.3125,0,48,15.0,0.0,0.9329608938547486
1,always,0.0,aware,False,0.7,True,1.25,f0.03+refill+sweep,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.5227259500669266,-0.39923616898148145,-9.25185853854297e-18,0.3125,0,48,15.0,0.0,0.9329608938547486
2,always,0.0,aware,False,0.7,True,1.25,f0.03+refill+sweep,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.5368096374323457,-0.3952868634259259,-9.25185853854297e-18,0.3125,2,48,15.0,0.0,0.9329608938547486
3,always,0.0,aware,False,0.7,True,1.25,f0.03+refill+sweep,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.47256008845952374,-0.41330353009259263,-9.25185853854297e-18,0.3125,2,48,15.0,0.0,0.9329608938547486
4,always,0.0,aware,False,0.7,True,1.25,f0.03+refill+sweep,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.4698830239189896,-0.41405422453703694,0.0,0.3125,2,48,15.0,0.0,0.9329608938547486
0,always,0.0,naive_whale,False,0.7,True,1.25,f0.03+refill+sweep,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.508642262701507,-0.40318547453703707,0.0,0.6875,0,48,33.0,0.0,0.9329608938547486
1,always,0.0,naive_whale,False,0.7,True,1.25,f0.03+refill+sweep,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.5227259500669266,-0.3992361689814814,0.0,0.6875,0,48,33.0,0.0,0.9329608938547486
2,always,0.0,naive_whale,False,0.7,True,1.25,f0.03+refill+sweep,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.5368096374323457,-0.3952868634259259,0.0,0.6875,2,48,33.0,0.0,0.9329608938547486
3,always,0.0,naive_whale,False,0.7,True,1.25,f0.03+refill+sweep,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.47256008845952374,-0.41330353009259263,0.0,0.6875,2,48,33.0,0.0,0.9329608938547486
4,always,0.0,naive_whale,False,0.7,True,1.25,f0.03+refill+sweep,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.4698830239189896,-0.41405422453703694,0.0,0.6875,2,48,33.0,0.0,0.9329608938547486
0,always,0.0,naive_whale,False,0.5,False,1.25,f0.03+refill+sweep,49.073802876710396,282.5005894532111,0,29.0,0.98,673.5844782701523,0.3244782703733709,233.42678657650086,1499.7656057243871,1.579424556311701,-4.96597795491487,-4.863058053677098,9.554903603816483,0,48,33.0,0.0,0.9329608938547486
1,always,0.0,naive_whale,False,0.5,False,1.25,f0.03+refill+sweep,36.072251737421794,272.2150890842566,0,58.0,0.98,644.9017704966669,0.061770496875233956,244.39283734683488,1456.8081658805686,1.900701321509671,-5.1043458748348005,-5.091517444725725,9.15149619136771,0,48,33.0,0.0,0.9329608938547486
2,always,0.0,naive_whale,False,0.5,False,1.25,f0.03+refill+sweep,46.66134018975194,246.10095145675643,0,36.0,0.9355401168972282,623.3857780430138,0.48241683070697317,215.93961126700452,1387.9048739878704,7.852652778701057,-2.842541877067772,-4.498741901395927,9.194987532799574,2,48,33.0,0.0,0.9329608938547486
3,always,0.0,naive_whale,False,0.5,False,1.25,f0.03+refill+sweep,34.08039088209267,300.92189515928493,0,36.0,0.5983266172856652,556.6567719302016,0.2263074361958223,266.8415042771923,1313.3562355059712,11.328042097841347,-2.9284396864720263,-5.559198005774839,6.891261260168162,2,48,33.0,0.0,0.9329608938547486
4,always,0.0,naive_whale,False,0.5,False,1.25,f0.03+refill+sweep,34.30618919756337,298.9534936661743,0,29.0,0.5982864639382035,542.2043379708667,0.311620954163179,264.64730446861097,1283.9914598538403,20.24044630564635,-0.3835374159364662,-5.5134855097627264,9.369287448456134,2,48,33.0,0.0,0.9329608938547486
0,always,0.0,aware,False,0.35,False,1.25,f0.03+refill+sweep,79.2938436086077,76.06479087283867,0,89.0,0.09836543996294994,121.15894762307563,1.069768003969205,-3.2290527357690024,224.54976879561315,1.4960440961774775,-0.05902926889010399,0.06727193199518763,1.2261856956481705,0,48,15.0,0.0,0.9329608938547486
1,always,0.0,aware,False,0.35,False,1.25,f0.03+refill+sweep,63.22730533053655,83.87486125167291,0,61.0,0.98,494.2281082642159,0.10321384813806463,20.647555921136366,949.7963994578621,1.7638677859246397,-0.48135629658136253,-0.43015741502367444,0.9050659074813364,0,48,15.0,0.0,0.9329608938547486
